new_seg_id,seg_id,deb,clip,st_frm,st_sec,fid,ed_vote,change,side,fold,dur_sec
0,16,150626,0,4,2,0,0.71,-0.15,1,5,62
1,17,150626,0,35,17.5,0,0.71,-0.15,1,5,62
2,18,150626,0,65,32.5,0,0.71,-0.15,1,5,62
3,2203,150626,0,101,50.5,0,0.71,-0.15,1,5,62
4,19,150626,1,7,3.5,1,0.57,0.28,0,5,196
5,20,150626,1,39,19.5,1,0.57,0.28,0,5,196
6,21,150626,1,70,35,1,0.57,0.28,0,5,196
7,22,150626,1,106,53,1,0.57,0.28,0,5,196
8,23,150626,1,140,70,1,0.57,0.28,0,5,196
9,24,150626,1,170,85,1,0.57,0.28,0,5,196
10,45,150626,1,204,102,1,0.57,0.28,0,5,196
11,46,150626,1,235,117.5,1,0.57,0.28,0,5,196
12,47,150626,1,263,131.5,1,0.57,0.28,0,5,196
13,48,150626,1,294,147,1,0.57,0.28,0,5,196
14,49,150626,1,321,160.5,1,0.57,0.28,0,5,196
15,50,150626,1,363,181.5,1,0.57,0.28,0,5,196
16,60,150626,2,5,2.5,2,0.54,0.11,1,5,237
17,61,150626,2,33,16.5,2,0.54,0.11,1,5,237
18,62,150626,2,57,28.5,2,0.54,0.11,1,5,237
19,63,150626,2,88,44,2,0.54,0.11,1,5,237
20,64,150626,2,121,60.5,2,0.54,0.11,1,5,237
21,65,150626,2,146,73,2,0.54,0.11,1,5,237
22,66,150626,2,174,87,2,0.54,0.11,1,5,237
23,67,150626,2,202,101,2,0.54,0.11,1,5,237
24,68,150626,2,232,116,2,0.54,0.11,1,5,237
25,69,150626,2,269,134.5,2,0.54,0.11,1,5,237
26,70,150626,2,305,152.5,2,0.54,0.11,1,5,237
27,71,150626,2,335,167.5,2,0.54,0.11,1,5,237
28,72,150626,2,363,181.5,2,0.54,0.11,1,5,237
29,73,150626,2,389,194.5,2,0.54,0.11,1,5,237
30,74,150626,2,413,206.5,2,0.54,0.11,1,5,237
31,2206,150626,2,443,221.5,2,0.54,0.11,1,5,237
32,75,150626,3,5,2.5,3,0.72,0.26,0,5,109
33,76,150626,3,32,16,3,0.72,0.26,0,5,109
34,77,150626,3,60,30,3,0.72,0.26,0,5,109
35,78,150626,3,91,45.5,3,0.72,0.26,0,5,109
36,79,150626,3,124,62,3,0.72,0.26,0,5,109
37,80,150626,3,148,74,3,0.72,0.26,0,5,109
38,81,150626,3,176,88,3,0.72,0.26,0,5,109
39,2207,150626,3,207,103.5,3,0.72,0.26,0,5,109
40,2208,150626,4,19,9.5,4,0.38,0.1,1,5,81
41,82,150626,4,23,11.5,4,0.38,0.1,1,5,81
42,83,150626,4,59,29.5,4,0.38,0.1,1,5,81
43,84,150626,4,94,47,4,0.38,0.1,1,5,81
44,85,150626,4,122,61,4,0.38,0.1,1,5,81
45,2209,150626,4,145,72.5,4,0.38,0.1,1,5,81
46,86,150626,5,12,6,5,0.71,0.09,0,5,120
47,87,150626,5,44,22,5,0.71,0.09,0,5,120
48,88,150626,5,76,38,5,0.71,0.09,0,5,120
49,89,150626,5,112,56,5,0.71,0.09,0,5,120
50,90,150626,5,143,71.5,5,0.71,0.09,0,5,120
51,91,150626,5,166,83,5,0.71,0.09,0,5,120
52,92,150626,5,195,97.5,5,0.71,0.09,0,5,120
53,2211,150626,5,234,117,5,0.71,0.09,0,5,120
54,2212,150626,6,18,9,2,0.35,0.06,1,5,67
55,93,150626,6,24,12,2,0.35,0.06,1,5,67
56,94,150626,6,57,28.5,2,0.35,0.06,1,5,67
57,95,150626,6,90,45,2,0.35,0.06,1,5,67
58,2213,150626,6,114,57,2,0.35,0.06,1,5,67
59,2214,150626,7,7,3.5,4,0.48,0.13,1,5,50
60,96,150626,7,13,6.5,4,0.48,0.13,1,5,50
61,97,150626,7,40,20,4,0.48,0.13,1,5,50
62,98,150626,7,75,37.5,4,0.48,0.13,1,5,50
63,99,150626,8,2,1,6,0.63,0.15,1,5,86
64,100,150626,8,30,15,6,0.63,0.15,1,5,86
65,101,150626,8,60,30,6,0.63,0.15,1,5,86
66,102,150626,8,96,48,6,0.63,0.15,1,5,86
67,103,150626,8,125,62.5,6,0.63,0.15,1,5,86
68,2215,150626,8,152,76,6,0.63,0.15,1,5,86
69,104,150626,9,13,6.5,7,0.6,0.23,0,5,52
70,105,150626,9,40,20,7,0.6,0.23,0,5,52
71,106,150626,9,66,33,7,0.6,0.23,0,5,52
72,51,150626,10,3,1.5,8,0.56,-0.04,0,5,118
73,52,150626,10,38,19,8,0.56,-0.04,0,5,118
74,53,150626,10,70,35,8,0.56,-0.04,0,5,118
75,54,150626,10,108,54,8,0.56,-0.04,0,5,118
76,55,150626,10,140,70,8,0.56,-0.04,0,5,118
77,56,150626,10,173,86.5,8,0.56,-0.04,0,5,118
78,57,150626,10,203,101.5,8,0.56,-0.04,0,5,118
79,2204,150626,11,19,9.5,9,0.64,0.2,1,5,52
80,58,150626,11,26,13,9,0.64,0.2,1,5,52
81,59,150626,11,50,25,9,0.64,0.2,1,5,52
82,2205,150626,11,83,41.5,9,0.64,0.2,1,5,52
83,25,150627,13,3,1.5,0,0.36,-0.04,0,0,165
84,107,150627,13,35,17.5,0,0.36,-0.04,0,0,165
85,108,150627,13,62,31,0,0.36,-0.04,0,0,165
86,109,150627,13,86,43,0,0.36,-0.04,0,0,165
87,110,150627,13,116,58,0,0.36,-0.04,0,0,165
88,111,150627,13,144,72,0,0.36,-0.04,0,0,165
89,112,150627,13,173,86.5,0,0.36,-0.04,0,0,165
90,113,150627,13,207,103.5,0,0.36,-0.04,0,0,165
91,114,150627,13,233,116.5,0,0.36,-0.04,0,0,165
92,115,150627,13,263,131.5,0,0.36,-0.04,0,0,165
93,116,150627,13,296,148,0,0.36,-0.04,0,0,165
94,117,150627,14,3,1.5,1,0.8,0.16,1,0,131
95,118,150627,14,37,18.5,1,0.8,0.16,1,0,131
96,119,150627,14,68,34,1,0.8,0.16,1,0,131
97,120,150627,14,95,47.5,1,0.8,0.16,1,0,131
98,121,150627,14,128,64,1,0.8,0.16,1,0,131
99,122,150627,14,157,78.5,1,0.8,0.16,1,0,131
100,123,150627,14,192,96,1,0.8,0.16,1,0,131
101,124,150627,14,230,115,1,0.8,0.16,1,0,131
102,125,150627,15,33,16.5,2,0.72,0.52,0,0,104
103,126,150627,15,63,31.5,2,0.72,0.52,0,0,104
104,127,150627,15,95,47.5,2,0.72,0.52,0,0,104
105,128,150627,15,124,62,2,0.72,0.52,0,0,104
106,129,150627,15,148,74,2,0.72,0.52,0,0,104
107,130,150627,15,173,86.5,2,0.72,0.52,0,0,104
108,2218,150627,15,204,102,2,0.72,0.52,0,0,104
